Godolphin, Bernard 57 3
           28 Potma, James 26.46 QUE 0
           39 Potma, James 24.86 QUE 0
           57 Potma, James 55.08 QUE 0
Coulls, Hudson 0 5
           21 Coulls, Hudson 28.11 MACU 0
           68 Coulls, Hudson 29.72 MACU 0
           28 Coulls, Hudson 1:01.64 MACU 0
           63 Coulls, Hudson 25.76 MACU 0
           19 Coulls, Hudson 2:12.72 MACU 0
Zielinski, Adam 1 5
           22 Zielinski, Adam 28.11 Gryphons 0
           21 Zielinski, Adam 1:00.77 Gryphons 0
           58 Zielinski, Adam 25.67 Gryphons 0
           16 Zielinski, Adam 2:11.39 Gryphons 1
           64 Zielinski, Adam 55.40 Gryphons 0
Gobovic, Luka 7 4
           23 Gobovic, Luka 28.18 QUE 0
           10 Gobovic, Luka 59.78 QUE 7
           57 Gobovic, Luka 25.62 QUE 0
           17 Gobovic, Luka 2:11.54 QUE 0
Duncan-Snobel, Finn 18 5
           24 Duncan-Snobel, Finn 28.28 Warriors 0
           57 Duncan-Snobel, Finn NT Warriors 0
           11 Duncan-Snobel, Finn 59.79 Warriors 6
           24 Duncan-Snobel, Finn 2:14.08 Warriors 0
           7 Duncan-Snobel, Finn 2:06.82 Warriors 12
Stavnitzky, Emmett 0 4
           25 Stavnitzky, Emmett 28.28 MACU 0
           52 Stavnitzky, Emmett 27.66 MACU 0
           24 Stavnitzky, Emmett 1:01.00 MACU 0
           49 Stavnitzky, Emmett 25.19 MACU 0
Martin, Rhys 0 4
           26 Martin, Rhys 28.46 Carleton 0
           29 Martin, Rhys 1:01.71 Carleton 0
           59 Martin, Rhys 25.69 Carleton 0
           54 Martin, Rhys 54.62 Carleton 0
Harvey, Aidan 0 5
           27 Harvey, Aidan 28.53 Gryphons 0
           43 Harvey, Aidan 4:41.99 Gryphons 0
           25 Harvey, Aidan 1:01.11 Gryphons 0
           20 Harvey, Aidan 2:12.79 Gryphons 0
           42 Harvey, Aidan 2:24.36 Gryphons 0
Walker, Jack 0 4
           29 Walker, Jack 28.80 QUE 0
           46 Walker, Jack 27.09 QUE 0
           52 Walker, Jack 25.32 QUE 0
           60 Walker, Jack 55.17 QUE 0
Said, Nadeem 18 4
           30 Said, Nadeem 28.80 Warriors 0
           26 Said, Nadeem 4:15.12 Warriors 0
           8 Said, Nadeem 59.40 Warriors 11
           10 Said, Nadeem 2:09.04 Warriors 7
Cameron, Benjamin 0 5
           31 Cameron, Benjamin 28.87 WLU 0
           39 Cameron, Benjamin 1:08.77 WLU 0
           69 Cameron, Benjamin 30.13 WLU 0
           33 Cameron, Benjamin 1:02.71 WLU 0
           29 Cameron, Benjamin 2:19.32 WLU 0
Nelander, Thomas 0 4
           32 Nelander, Thomas 28.88 QUE 0
           37 Nelander, Thomas 1:00.00 QUE 0
           26 Nelander, Thomas 2:15.00 QUE 0
           25 Nelander, Thomas 2:16.00 QUE 0
Coubrough, Dyllon 0 4
           33 Coubrough, Dyllon 29.10 QUE 0
           63 Coubrough, Dyllon 29.00 QUE 0
           42 Coubrough, Dyllon 24.91 QUE 0
           56 Coubrough, Dyllon 54.84 QUE 0
Bishop, Blake 4 5
           34 Bishop, Blake 29.11 Brock Badgers 0
           27 Bishop, Blake 1:01.56 Brock Badgers 0
           46 Bishop, Blake 25.10 Brock Badgers 0
           13 Bishop, Blake 2:10.70 Brock Badgers 4
           50 Bishop, Blake 54.17 Brock Badgers 0
Boksmati, Mohamed 0 4
           35 Boksmati, Mohamed 29.20 Carleton 0
           34 Boksmati, Mohamed 1:04.42 Carleton 0
           67 Boksmati, Mohamed 25.91 Carleton 0
           73 Boksmati, Mohamed 57.06 Carleton 0
Kao, Jonathan 0 5
           36 Kao, Jonathan 29.84 Warriors 0
           41 Kao, Jonathan 1:09.33 Warriors 0
           32 Kao, Jonathan 2:33.79 Warriors 0
           35 Kao, Jonathan 1:04.64 Warriors 0
           39 Kao, Jonathan 31.70 Warriors 0
Cambridge, Sidney 0 4
           37 Cambridge, Sidney 30.14 YU 0
           65 Cambridge, Sidney 29.49 YU 0
           39 Cambridge, Sidney 1:10.27 YU 0
           65 Cambridge, Sidney 25.89 YU 0
Kauk, Nicholas 0 5
           38 Kauk, Nicholas 30.24 WLU 0
           62 Kauk, Nicholas 28.99 WLU 0
           36 Kauk, Nicholas 1:06.30 WLU 0
           74 Kauk, Nicholas 26.20 WLU 0
           32 Kauk, Nicholas 2:30.50 WLU 0
Koprianiuk, Adam 0 4
           39 Koprianiuk, Adam 30.32 YU 0
           58 Koprianiuk, Adam 28.59 YU 0
           48 Koprianiuk, Adam 25.18 YU 0
           82 Koprianiuk, Adam 58.37 YU 0
Mouratidis, Efstathios 0 4
           40 Mouratidis, Efstathios 31.00 QUE 0
           42 Mouratidis, Efstathios 1:01.00 QUE 0
           53 Mouratidis, Efstathios 28.00 QUE 0
           28 Mouratidis, Efstathios 2:18.00 QUE 0
Durante, Stefano 0 4
           41 Durante, Stefano 31.08 Carleton 0
           40 Durante, Stefano 1:10.41 Carleton 0
           84 Durante, Stefano 26.91 Carleton 0
           85 Durante, Stefano 59.45 Carleton 0
Treiss, Edward 0 4
           42 Treiss, Edward 31.23 Carleton 0
           38 Treiss, Edward 1:07.80 Carleton 0
           89 Treiss, Edward 27.41 Carleton 0
           91 Treiss, Edward 1:02.19 Carleton 0
Thayaparan, Abiman 0 4
           43 Thayaparan, Abiman 31.26 YU 0
           41 Thayaparan, Abiman 1:13.34 YU 0
           83 Thayaparan, Abiman 26.88 YU 0
           89 Thayaparan, Abiman 1:01.48 YU 0
Ellig, Evan 0 4
           44 Ellig, Evan 31.59 WLU 0
           70 Ellig, Evan 30.21 WLU 0
           64 Ellig, Evan 25.76 WLU 0
           80 Ellig, Evan 58.14 WLU 0
McKay, Cooper 0 4
           45 McKay, Cooper 32.48 WLU 0
           88 McKay, Cooper 27.23 WLU 0
           49 McKay, Cooper 34.21 WLU 0
           88 McKay, Cooper 1:01.39 WLU 0
Dhaliwal, Harsimrat 0 4
           46 Dhaliwal, Harsimrat 33.15 YU 0
           67 Dhaliwal, Harsimrat 29.68 YU 0
           77 Dhaliwal, Harsimrat 26.37 YU 0
           86 Dhaliwal, Harsimrat 59.69 YU 0
Paterson, Benjamin 0 4
           47 Paterson, Benjamin 35.55 QUE 0
           33 Paterson, Benjamin 59.55 QUE 0
           36 Paterson, Benjamin 2:40.00 QUE 0
           24 Paterson, Benjamin 2:15.00 QUE 0
Mastromatteo, Gabe 73 4
           1 Mastromatteo, Gabe 58.11 UT 20
           3 Mastromatteo, Gabe 24.85 UT 16
           2 Mastromatteo, Gabe 2:10.16 UT 17
           1 Mastromatteo, Gabe 26.85 UT 20
Aylward, Graeme 61 4
           2 Aylward, Graeme 1:00.04 UT 17
           3 Aylward, Graeme 2:12.08 UT 16
           8 Aylward, Graeme 23.11 UT 11
           2 Aylward, Graeme 27.88 UT 17
Johnsen, Cameron 60 5
           3 Johnsen, Cameron 1:01.98 MACU 16
           5 Johnsen, Cameron 2:13.85 MACU 14
           4 Johnsen, Cameron 28.53 MACU 15
           13 Johnsen, Cameron 51.19 MACU 4
           8 Johnsen, Cameron 2:06.85 MACU 11
Bulban, Nicholas 27 4
           4 Bulban, Nicholas 1:02.10 UT 15
           23 Bulban, Nicholas 57.92 UT 0
           32 Bulban, Nicholas 26.68 UT 0
           7 Bulban, Nicholas 28.69 UT 12
Graboski, Theo 27 4
           5 Graboski, Theo 1:02.18 Mustangs 14
           7 Graboski, Theo 2:16.45 Mustangs 12
           16 Graboski, Theo 29.47 Mustangs 1
           20 Graboski, Theo 2:12.34 Mustangs 0
Jensen, Alexander 47 4
           6 Jensen, Alexander 1:02.19 Mustangs 13
           9 Jensen, Alexander 2:17.67 Mustangs 9
           6 Jensen, Alexander 28.65 Mustangs 13
           7 Jensen, Alexander 2:06.60 Mustangs 12
Korstanje, Anthonie 29 6
           8 Korstanje, Anthonie 1:02.78 Brock Badgers 11
           50 Korstanje, Anthonie 1:03.75 Brock Badgers 0
           59 Korstanje, Anthonie 28.60 Brock Badgers 0
           8 Korstanje, Anthonie 2:16.57 Brock Badgers 11
           13 Korstanje, Anthonie 29.28 Brock Badgers 4
           14 Korstanje, Anthonie 2:09.93 Brock Badgers 3
Teasdale, Cam 28 4
           10 Teasdale, Cam 1:02.85 Carleton 7
           18 Teasdale, Cam 2:21.63 Carleton 0
           3 Teasdale, Cam 28.26 Carleton 16
           12 Teasdale, Cam 2:09.03 Carleton 5
Rotsaert-Smith, Ethan 30 4
           11 Rotsaert-Smith, Ethan 1:03.41 Gryphons 6
           13 Rotsaert-Smith, Ethan 2:20.38 Gryphons 4
           5 Rotsaert-Smith, Ethan 28.64 Gryphons 14
           11 Rotsaert-Smith, Ethan 2:08.06 Gryphons 6
